"There's nothing to tell! He's just some guy I work with!","Bro, you can't keep hiding from love forever. You need to take a chance on this guy!"
"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?","Ha! Joey, always with the hilarious and insensitive questions. But seriously, what's up with this guy?"
"Wait, does he eat chalk?","Eating chalk? That's a new one. But hey, maybe it's a thing now, who am I to judge?"
"Just, 'cause, I don't want her to go through what I went through with Carl- oh!","Hey, man, I get it. You don't want your girl to go through the pain of dating someone who's, let's say, less than perfect. But you gotta let her make her own decisions."
"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.","Wait, what do you mean not having sex? Come on, that's half the fun of going out!"
"Sounds like a date to me.","Exactly! Finally, someone who gets it."
"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.","Classic dream, bro. But let me guess, you didn't have any cool ninja skills to cover up with?"
"Oh, yeah. Had that dream.","We've all been there, my friend."
"Then I look down, and I realize there's a phone... there.","Okay, that's definitely not part of the standard dream. But hey, at least it wasn't a banana phone!"
"Instead of...?","Let me guess, you picked it up and started talking, right?"
"That's right.","Of course you did. And what did your mom have to say for herself?"
"Wow! Wow! And it's definitely all gone? There's nothing there to work with? What were you thinking?","Dude, what happened to you down there? You gotta give the ladies something to work with!"
"Never had that dream.","What? Seriously? That's like, the most common dream ever!"
"No.","Well, you're missing out on a whole world of naked embarrassment, my friend."
"Oh, you're so screwed.","Ha! Nice pun. But seriously, you're in trouble."
"And they weren't looking at you before?!","Hey, that's not cool! But seriously, what did you expect, wearing a neon sign that says 'look at me'?"
"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!","That's definitely weird. But at least she didn't see you standing there in all your naked glory, right?"
"Hey Erica, welcome back to town! Wow, look how big you've gotten.","Smooth, my friend. Real smooth. I'm sure she loved hearing that."
"This guy says hello, I wanna kill myself.","Ha! I know the feeling. But hey, maybe he's just having a bad day."
"Are you okay, sweetie?","Of course he's not okay! He's clearly traumatized!"
"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...","That is...quite the visual. But hey, have a cookie, it might make you feel better"
"Cookie?","Yeah, legendary move, Carol moved her stuff out today."
"Carol moved her stuff out today.","Ohh, that's a bummer bro."
"Ohh.","Okay, let's take it step by step."
"Let me get you some coffee.","Challenge accepted, my good man."
"Thanks.","Suit up, we're about to cheat on our house. And if we're gonna cheat, we should go for a hot, younger house that can do things our house won't do."
"Ooh! Oh!","Whoa, whoa, whoa, back off bro! Don't mess with my aura! Just leave it be, okay?"
"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?","Okay fine, be murky then!"
"Fine! Be murky!","It's all good bro, I'm gonna be just fine. I mean, I hope she's happy and all."
"I'll be fine, alright? Really, everyone. I hope she'll be very happy.","Whoa, hold up there buddy. You don't."
"No you don't.","Wait for it... oh my God!!! Monica!! He's the stripper from your bachelorette party!!"
"No I don't, to hell with her, she left me!","And you never knew she was a lesbian..."
"And you never knew she was a lesbian...","Dude, seriously? No!! How should I have known? It's not like she knew either."
"Sometimes I wish I was a lesbian... Did I say that out loud?","Challenge accepted, my friend. High five!"
"I told mom and dad last night, they seemed to take it pretty well.","Wait for it...oh really? So that sobbing phone call I got from a woman at 3 AM who said 'I'll never have grandchildren' was a wrong number?"
"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., 'I'll never have grandchildren, I'll never have grandchildren.' was what? A wrong number?","Sorry bro, my bad."
"Sorry.","No worries man, it's all good. Anyway, let's talk about you. He and I both thought you were amazing, but we made a pact not to ask you out and risk our friendship."
"Strip joint! C'mon, you're single! Have some hormones!","Suit up, bro! You're not single, you're just between relationships!"
"And I just want a million dollars!","Challenge accepted!"
"Rachel?!","Rachel, my favorite girl's name!"
"Yeah, okay but look, buy uh-Hey-hey, y'know, y'know who else I like? You! And it-it doesn't get said enough. I like you Ross.","Listen up bro, don't be afraid to express your feelings. It's not just about the ladies, it's about the bros too!"
"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!","Legendary entrance, bro!"
"Can I get you some coffee?","Coffee, the nectar of the gods!"
"De-caff. Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?","Introducing the gang, legendary!"
"Hi, sure!","Hey there, beautiful!"
"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.","Bro, sounds like you had a crazy experience! But don't worry, I'm here for you!"
"Who wasn't invited to the wedding.","What? I wasn't invited to the wedding? That's not possible!"
"Ooh, I was kinda hoping that wouldn't be an issue...","Challenge accepted!"
"Tuna or egg salad? Decide!","Suit up, bro! Always go with tuna, it's the king of fish!"
"I'll have whatever Christine is having.","Always be confident in your choices, bro!"
"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!","Listen up, beautiful! Don't settle for anything less than legendary!"
"Ooh, she should not be wearing those pants.","Suit up, beautiful! The right outfit can make all the difference!"
"I say push her down the stairs.","Just kidding, bro! Don't do anything stupid!"
"Push her down the stairs! Push her down the stairs! Push her down the stairs!","Whoa, bro! That's not cool!"
"You can see where he'd have trouble.","Suit up! We're going to find him."
"Look bro, it's my life. Well maybe I'll just stay here with Monica.","Challenge accepted."
"Well, I guess we've established who's staying here with Monica...","Legend...wait for it...dary!"
"Just breathe, breathe.. that's it. Just try to think of nice calm things...","Think about it: suits are just superhero costumes in disguise."
"Raindrops on roses and rabbits and kittens, bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few...","Awesome!"
"I'm all better now.","Please! A bro never gets sick. He just makes everyone else sick."
"I helped!","High five!"
"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing.","You're gonna suit up and get out there, champ."
"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.","Suit up, we're going to Joey's."
"Joey, stop hitting on her! It's her wedding day!","Please. A bro never lets another bro hit on a girl he's interested in. That's bro code 101."
"What, like there's a rule or something?","Suit up! It's time for some bro code."
"Please don't do that again, it's a horrible sound.","New is always better. The tie is the first to go, road trip to Vegas, you do not talk about Robin's past."
"It's, uh, it's Paul.","Suit up, we're going to meet Paul the Wine Guy."
"Oh God, is it 6:30? Buzz him in!","Suit up, he's here!"
"Who's Paul?","Suit up, bro. We're about to meet the Wine Guy."
"Paul the Wine Guy, Paul?","Suit up, he's here."
"Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?","Suit up, we're going on a date."
"He finally asked you out?","Suit up, we're going on a date."
"Yes!","Awesome! Suit up, we're going on a date."
"Relish!","Suit up, bro. We're going to the burger joint."
"Ooh, this is a Dear Diary moment.","Oh man, Rach, wait a minute. I can cancel that thing..."
"Rach, wait, I can cancel...","No, no, please go. I'm fine!"
"Please, no, go, that'd be fine!","You sure? You seem upset. Do you want me to stay?"
"Are, are you okay? I mean, do you want me to stay?","Great, that's settled then."
"That'd be good...","Really."
"Really?","Yes, really! I need to go after her."
"No, go on! It's Paul the Wine Guy!","Hold up, what's that supposed to mean? Does he even know anything about wine?"
"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.","Hey, what's up Paul! The Wine Guy, huh? Nice to meet you!"
"Hey! Paul! Hi! The Wine Guy! Hey!","Sorry, what was your name again? Paul, right?"
"I'm sorry, I didn't catch your name. Paul, was it?","I'll be back in a sec, just gotta take care of something..."
"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...","What, were you going to say wandering? It's change! Just sit tight for a sec."
"A wandering?","Change! Okay, sit down. Two seconds."
"Change! Okay, sit down. Two seconds.","Oh man, just pulled out four eyelashes. This can't be good..."
"Hey, Paul!","Yeah, what's up?"
"Yeah?","Listen man, don't go just yet."
"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.","Legendary advice, my man. High five!"
"Shut up, Joey!","Classic Joey, always ruining my game."
"So Rachel, what're you, uh... what're you up to tonight?","Smooth, Stinson. Keep the conversation flowing."
