"prior_message","barney_message"
"I know, I'm still shaking.","What the? Haha, joke's on you, I have a cold."
"But those things coming out of his head, those were antennae","Marshall ran away from a cockroach."
"It, it was a mouse.","Oh, yeah, sorry, my bad. You're a man."
"BAR","Was that chick at the end really a client?"
"Yes.","We're signing up."
"What?","My boat is sinking."
"Oh my God.","Come on."
"(Ted sitting on couch reading magazine, Ted hears squeaking and tiny footstep noises, Barney barges into the apartment_","Ted, hurry, you gotta help me. My boat is sinking."
"Your boat is sinking. That was good.","Come on, Ted, this is an incredible opportunity. We'll meet our soulmates, nail 'em and never call them again."
"All finished, gentlemen? Congratulations, you have just taken your very first step.","Gosh, thanks, Ellen. I sure hope this works. I'm so done with the single life, all the games, the meaningless sex."
"You deserve more.","That is so true, Ellen. I really think I'm ready to stop being a me and start being a we."
"Oh, of course you can. That is so...","It's kinda hard to talk about with Ted here, but I just want someone who's not afraid to hold me at night when the tears come. Ellen, can you help me find her?"
"Get out.","What?"
"I get 15 guys like you every week. Jerks who just want to meet vulnerable women, nail 'em and never call them again.","Oh my God, people do that."
"You wanna do this the easy way or the hard way?","What's the hard way? Security roughs me up and tosses me out?"
"That's the easy way. The hard way is that I stomp the crap out of you myself.","OK, Ted, let's go."
"You're cute. You're an architect. Good career and you didn't use an obvious alias on your application like your friend, Jack Package.","It's pronounced 'Pa-kojj.'"
"OK, it's back and this time we got a good look.","Hey, seriously, you have to stop doing that."
"Shh, shh, it's OK, it's over.","So did you get a good look at it?"
"It's some sort of mutant combination of the two. It's as if a cockroach and a mouse...you know...","Hit the horizontal ten-legged interspecies cha-cha?"
"Did you just use my name as a verb?","Oh, yeah, we do that behind your back. Ted-out: to overthink. Also see Ted-up. Ted-up: to overthink something with disastrous results. Sample sentence: Billy Tedded up when"
"She wants to have two children. Her guilty pleasure song is Summer Breeze by Seals and Croft.","Wow, Ted, sounds like you're her perfect woman."
"OK, this is getting weird, the similarities go on and on. She hates phonies. I totally hate phonies too. She's a dermatologist. I have skin.","You wanna be her boyfriend. She already has a boyfriend. It's uncanny."
"Whoa whoa whoa, let's not skip over this. Raise your hand if earlier today you hit on an engaged woman.","Come on, Lily, don't hate the player, hate the game."
"Ted, hi, this is Dr. O'Brien. About today, listen, I really need to talk to you. Call me, I'll be at the office all day.","The doctor will see you now."
"In that scenario, I'm not interfering, I'm a happy ending.","Happy ending."
"Look, I have to go down there. I don't know what's gonna happen when I get there but I have to give it a sh*t.","All right, see you later. Happy hunting."
"Wait, where are you guys going? Don't you want to stay and see the cockamouse.","Yeah, we're gonna make some crop circles."
