"prior_message","barney_message"
"Hey, you wanna do something tonight?","Okay, meet me at the bar in fifteen minutes, and Suit up!"
"Hey.","Where's your suit!? Just once when I say suit up, I wish you'd put on a suit."
"I did that one time.","It was a blazer!"
"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call ""Uncle Ted"".","I see what this is about. Have you forgotten what I said to you the night we met?"
"Oh, right. Hi.","Lesson one, lose the goatee. It doesn't look good with your suit."
"I'm not wearing a suit.","Lesson two, get a suit. Sutis are cool. Exhibit A."
"Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.","I thought I was your best friend. Ted, say I'm your best friend."
"You're my best friend, Barney.","Good! And as your best friend, I suggest we play a little game called... ""Have you met Ted?"""
"Wai-no, no, no. We're not playing ""Have You Met Ted?""",""
"Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.","how does Carl land a Lebanese girl?"
"It's always been ""don't even think about it till you're thirty""","Exactly-the guy doesn't even own a suit!"
"Hey Barney, see that girl?","Hey, have you met Ted?"
"that was fun.","De-wait for it-nied! Denied!"
"We're going out tomorrow night.","I thought we were playing laser tag tomorrow night?"
"Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him.","Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I k*ll you Connor; don't make me get your mom!"
"Hey, listen. I need your opinion on something.","Okay, meet me at the bar in fifteen minutes-AND SUIT UP!"
"So these guys think I chickened out. What do you think?","I can't believe you're still not wearing a SUIT!"
"She didn't even give me the signal.","What is she goanna-is she goanna bat her eyes at you in Morse code Kiss me-No, you just kiss her!"
"Not if you don't get the signal.","Ee-(Kisses Marshal) Did Marshall give me the signal?"
"No! I didn't, I swear.","But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her."
"Urgh, I should've kissed her. What about when she gets back from Orlando?","A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words: you will never see that one again."
"I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death.","Actually, that is a perfect metaphor. By the way, did I congratulate you two?"
"..Barney?","Alright, but under one condition."
"","Know, that was a big mistake, Ted. You should've done it in person."
"Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story.","Why does he get to be the best man? I'M YOUR BEST FRIEND!"
"Go back in there!","You're wearing a suit!"
"He's in.","So, Ranjit... you must've done it with a Lebanese girl."
"Actually, I'm from Bangladesh.","The women hot there?"
"Here's a picture of my wife!","She's lovely."
"Yeah...","You hate olives? Lily loves them, you can't stand them."
"Yeah, hate olives.","Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?"
"You have to swear that this does not leave this cab.","I swear."
"On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, ""Sure... I hate olives.""","But you like olives!"
"Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives.","Marshall, I'm going to get you an early wedding present. Don't get married."
"It's been like twenty minutes. You think they're doin' it?","You think they're doing it in front of the dogs?"
"Doggie style.","I had this girl in college; she had a golden retriever-"
"Okay, we can go to the bar, just stop talking.","Hit it Ranjit."
"That long lingering handshake-you should've kissed her!","There's no such thing as the signal. But yeah-that was the signal."
"Guys, trust me. I've seen the signal. That was not the signal.","Yeah Ted, we're not on you anymore."
"Right, so back in 2005 when I was twenty-seven, my two best friends got engaged. And it got me thinking, ""Maybe I should get married."" Then I saw... Robin. She was incredible. I just knew I had to meet her. That's where your Uncle Barney came in.","I suggest we play a little game I like to call, ""Have you Met Ted?"""
"No, no, no-we're not playing ""Have you Met Ted!""",""
"I'm in love with her.","No! As your sponsor I will not let you relapse. You blew it; it's over-move on."
"We are now-Casual","Yeah, cuz nothing says ""Casual"" like inviting a hundred people over just to ""Mac"" on one girl. Oh, and Lily-that's my leg."
"Get her up to the roof and the roof takes care of the rest.","What's so special about the roof?"
"We do it up there sometimes.","Solid plan, my little friend."
"We're the same height.","But may I suggest one little modification."
"That's not the plan.","Should be the plan, I mean look at her. Ted, look at her. She's smokin'!"
"Barney, I don't wanna say-","Aargh! Scoping, beep, scoping, beep!"
"Man you're a dork.","beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call ""Have You Met Ted?"""
"No, come on not this.","Hi! Have you met Ted?"
"Hi.","Hi."
"No.","My God, have you ever had the baby! It is just behind me, huh?"
"I work with Carlos.","Excuse me, Anyone know a Carlos?"
"I don't think so.","Your loss, her gain. Excuse me, can I show you the roof? It's magical up there!"
"Whoa-whoa-Hey hey. I got that roof reserved!","Dude, Robin's not coming."
"Scene Five","Oh, you were so right about the roof. The roof. The roof is on fire, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her?"
"I have no idea who that is.","She said she works with Carlos, who's Carlos?"
"I don't know any Carlos.","Grr. Hi, you. You're back."
"I sure am. Come on, sweetie, I need a drink.","""sweetie""? Really? Sweetie?"
"Alright.","So, it's over between me-and-works with Carlos girl."
"Oh, that was fast.","Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?"
"So I threw a third party for Robin. On a Sunday night","Oh, this is lame."
"lame or ""Casual""?","lame."
"Hello, Barney.","Of course."
"You look well. Isn't it weird they invited both of us?","Who? Who invited you? No one even know who you are!"
"I understand you're hurt, but, you don't have to be cruel. Carlos was right about you.","Who is Carlos!?"
"She's not just ""one of them"" she's the one.","Yeah well, ""the one"" is heading up to ""the roof""."
"You jealous?","Oh, please, what does Carlos have that I don't?"
"Ohh!!","I'm not sure I like her."
"What's wrong with MacLaren's?",""
"I had no idea why I hung out with Barney.","You didn't phone-five did you? I know when you don't phone-five, Ted. Come on, we always go to MacLaren's."
"Yeah, cause MacLaren's is fun...","MacLaren's is this much fun. What I'm offering is the chance to have this much fun."
"See, you say that. You say it's going to be this much fun. But most of the time it ends up being this much fun. This much fun is good! It's safe. It's guaranteed!","This hand gesture thing doesn't really work on the phone, does it?"
"No it doesn't.","Get in the cab. Marshall you too."
"Oh, I wish I could... I think Lily and I are just goi...","I understand. Get in the cab."
"Why can Marshall say no?","Uhh... because he's getting laid."
"Consistently.",""
"It's not a rut, okay. It's a routine and I like it!","Ted, what's the first syllable in rutting"
"Alright, so what's this legendary plan.","First we got to pick someone up at the airport."
"Okay, I'm outta here.",""
"Why do you have those suitcases, and who are we picking up?","I don't know. Maybe her? Or her."
"Wait so when you said you were going to ""pick someone up at the airport"". You meant you were going to ""pick someone up at the airport"".","Scenario. Couple of girls fly into town, looking for a fun weekend in NYC when they meet two handsome international business men just back from a lucrative trip to Japan. Sample dialogue, ""You have a wheelie bag? Wh... I have a wheelie bag!"""
"You've gotta be kidding me.","False. Sidebar, tuck in your shirt. You look sketchy."
"I'm sketchy?","Trust me, it's going to be legendary."
"Alright, um, I think we need to refine our back-story first. How did we...","Ted, you klutzy, great guy, you!"
"Philadelphia.","Philly? That's where we're headed!"
"You are? Well...uh...guess we'll see you on the plane.","Yes, you will. Follow them, tickets on me."
"That is awesome.","Hey, is that Marshall? Marshall, stop whatever you're doing, get in that hoopty-ass Vierro of yours and come meet us in Philly. It's going to be legendary."
"Man, I wish I could, guys, but...","Yeah, yeah, yeah... I sent you some pictures on my phone, check it. Admit it, you're having fun. This much fun. Thirty-five thousand feet of fun!"
"Well I didn't think we'd be on a flying to Philadelphia when I woke up this morning, I'll give you that.","Let's go talk to those girls."
"Whoa, whoa, whoa, the seatbelt light is on.","Ted, you've been living your whole life in a seatbelt. It's time to unclick."
"Sir, seatbelt light's on.","Yeah, sorry, sorry."
"Barney, I am going to k*ll you.","Don't say you're going to k*ll someone in front of airport security, not cool. Not cool."
"We got footage of you placing two bags on JFK carousel three, and abandoning them to purchase a last minute flight with cash.","Those bags were your responsibility."
"Look, this is all just... it's a misunderstanding.","We are international businessmen. My colleague accidentally left the bags there now please let us go before we miss our international business meeting."
"Can't remember the last time I saw an international business man with an untucked shirt. In addition, we received this footage taken over the last few months.","Believe it or not, that duff bag thing worked."
"Yes, he's that lame. Tell them you're that lame!","We are international businessmen..."
"Sir! Lower your voice or we'll restrain you.","Dude, seriously, relax."
"We at least get to call our lawyer.","Exactly! We have a lawyer?"
"You had to play the race card.","Relax, Ted. We didn't do anything wrong. And, B.T.W, we'd be out of here by now if you'd have tucked in your shirt."
"No, we can't just... we're going home!","We're going to Sascha's?"
"Who the hell is Sascha?","Sascha. She's having friends over for drinks at her house. It's goanna be legen... wait for it...and I hope you're not lactose intolerant 'cuz the second half of that word is... dairy."
"Hello.","Time's running out, Scherbatsky. Last chance for the lemon law."
"No, we're not.","Yes, we are."
"Shh!","Philly!"
"I do okay.","Wow it must be really well cornered off over there. You ever go behind the rope and touch it?"
"Only all the time.","Ever, like, stick your head inside it?"
"Yeah.","Hi Nora. Thank you for reminding me. The reason I'm calling..."
"Nope, I have never licked it.","Hmm... I bet nobody in history has ever licked the Liberty Bell! If someone were to pull that off I dare say it would be... what's the word?"
"Well, this is my stop.","Legendary, Ted, LEGENDARY!"
"We're going to the airport.","Bong, bong..."
"Why do I hang out with you? Why? All I wanted was to have a regular beer, in a regular bar with my regular friends, in my regular city!","Ted, Ted... you're not even looking."
