,Questions,Answers
0,How are you?,i m fine . i m fine . i m fine . i m fine .
1,What’s up?,i m not sure .
2,Good morning.,good morning . i m glad you re doing well now . do you like the new one ?
3,Tell me something.,i don t know .
4,Goodbye.,you re right .
5,How can you help me?,i think you need to get a lawyer .
6,Happy birthday!,i love it ! i love it ! i love it !
7,I have a question.,i think it s a good idea .
8,Do you know a joke?,i think you re talking about the joke .
9,Do you love me?,i love you .
10,Will you marry me?,i m not married to you .
11,Do you like people?,i love people who are not as good as they are .
12,Does Santa Claus exist?,"no , he does not exist ."
13,Are you part of the Matrix?,i m not sure what you re asking .
14,You’re cute.,i m not a good person .
15,Do you have a hobby?,i have a friend who is a good teacher .
16,You’re smart.,i m not a good person .
17,Tell me about your personality.,i m not a guy .
18,You’re annoying.,i m not mad at you .
19,you suck.,i m not a fan of the movie but i m not a fan of the movies .
20,I want to speak to a human,you shouldn t be saying that you are a human being .
21,Don’t you speak English?!,i m not sure i m not a english person .
22,I want the answer NOW!,i m not sure what you re asking .
23,Are you a robot?,i am . i think i m a little more of a than a couple of years ago .
24,What is your name?,my name is the name of the name of the name of the name of the name of the name of the name of the person .
25,How old are you?,i m old .
26,What day is it today?,it is a day of the year and it is the th day of the year .
27,What do you do with my data?,you need to be more specific .
28,What do you do with my data?,you need to be more specific .
29,Which languages can you speak?,i think you mean the english language .
30,What is your mother’s name?,my mother is my mother .
31,Where do you live?,i live in the west .
32,How many people can you speak to at once?,i don t know .
33,What’s the weather like today?,i think it s a great place to go to the weather and the weather is the weather right now .
34,Are you expensive?,i m not sure what you re asking .
35,Who’s your boss,i m not a boss .
36,Do you like cars?,i do . do you know what the first car was like ?
37, Do you get smarter?,i think it depends on the person .
38,It was fun to talk with you!,i m glad you re going to be able to talk to your friend about it .
39,Which car is your favorite?,the new car is the best .
40,Blast Corps is a 1997 action video game for the Nintendo 64,i wonder if they are playing the nintendo entertainment system . i wonder if they are playing the nintendo entertainment system .
41,The game received several editor's choice awards and Metacritic's second-highest Nintendo 64 rating of 1997.,i think it s a good game . i wonder if they have a lot of different types of games in the world though .
42,Constance Baker Motley Constance Baker Motley (1921–2005) was an American jurist and politician who served as a judge of the United States District Court for the Southern District of New York.,i wonder if they are the only president to have a phd in astrophysics .
43,"The effects of the Gold Rush were substantial. Whole indigenous societies were attacked and pushed off their lands by the gold-seekers, called 'forty-niners' (referring to 1849, the peak year for Gold Rush immigration).",i wonder if they were the only country in the world that was founded in 2014 .
44,"LA is the largest city in the state of California and the second most populous city in the United States after New York City, as well as one of the world's most populous megacities.",i think it is the largest city in the world . i think it is the largest city in the world .
